# THE ground vocabulary of the subworld. One row per TerrainMaterial id
# (sub/material.h) — the ordinal IS the id the material texture carries, so
# rows are append-only and never reordered.
#
# Lines starting with '#' are comments; tools/gen_ground_table.py and
# ground_table_test both skip them.
#
# family      — which procedural shape the ground wears (soil / turf / sand /
#               furrow / stone / track / mud). A family is a SHAPE, not a
#               material: several materials share one and differ by numbers.
# fresh_*,worn_* — THE TWO CONSTITUENTS this ground is made of, as linear
#               colours. A ground is not one colour with noise on it: it is a
#               MIXTURE of a small number of real things in a proportion that
#               varies from place to place. A meadow is green sward and dry
#               stems and the soil showing between them; a dune is polished
#               crest and shaded trough; a massif is lichen-stained joint and
#               clean stone. `fresh` is what ACCUMULATES (the sward, the
#               lichen, soft snow, the silt in a hollow), `worn` is what
#               EXPOSURE leaves (litter and bare earth, scoured crust, the
#               wind-polished crest).
#
#               THE LAW AND ITS GUARANTEE: the shader mixes BETWEEN these two
#               and can therefore never put a colour on screen that is not on
#               the segment joining them. The multiplicative model this
#               replaced could and did — it smeared one colour along the
#               brightness axis and drifted its hue along an authored vector,
#               which manufactured olives and teals nobody chose. That is what
#               "грязно" was (owner, 2026-09-14/15): not too much texture, but
#               colours no material had.
#
#               Their MIDPOINT is the ground's mean colour, and the generator
#               emits it as kGroundAlbedo — so "the colour of this ground" is
#               still one number, it is simply derived now instead of authored
#               beside numbers that could contradict it. At range, where the
#               pixel footprint has averaged the field away, the mix settles
#               to exactly that midpoint.
# sd,macro_sd — how far the mix swings, as a standard deviation of the mix
#               fraction (which lives in 0..1 around the midpoint). `sd` is the
#               half of the ladder at and above this ground's own meso
#               frequency — how intermixed it is underfoot — and `macro_sd` the
#               half below it, the terrain-scale patchwork: how patchy the
#               ground looks from a hillside, which is a different property.
#               They ADD into one mix fraction, because "how worn is this
#               spot" is one fact measured at two scales.
#
#               Still measurable off a photograph, and more directly than the
#               coefficient of variation they replace: it is the fraction of
#               the frame that reads as fully worn.
# meso_m      — wavelength IN METRES of the family's structure (the 0.3–2 m
#               band the eye reads as surface). Its reciprocal is the
#               frequency the shader uses.
# micro_m     — wavelength in metres of the grain (2–8 cm). Damped by the
#               pixel footprint, so it never aliases into shimmer.
# relief_m    — peak height of the procedural relief IN METRES. This is the
#               bump scale: the shader differentiates the same field that
#               drives the mix, so a hollow is both INDENTED and fresher —
#               which is what a hollow is, since it is where moisture and
#               growth collect — and the sun and the shadow map already in
#               place do the shading for free.
# edge_m      — THIS ground's own margin, in metres: how far it wanders into
#               its neighbour AND how wide the transition is. One number for
#               both because they are one fact about the ground. The shader
#               reads the material field as a COVERAGE (four tile ids at once,
#               weighted by their shares of the fragment) rather than as a
#               point sample, and edge_m sharpens those shares to this width —
#               so a BUILT thing keeps a hand's width and stays crisp (road
#               0.3: a stone one tile across would otherwise be inside its own
#               ramp everywhere and read as a stain), while sand and peat creep
#               with a large one.
# damp        — how much this ground darkens inside the shoreline height band
#               (wet sand, lake bed, peat). 0 for everything that lives above
#               the water table. NOT the fresh/worn axis: that one says which
#               constituent you are looking at, this one is a film of standing
#               water over both, and a film darkens whatever is under it.
# cover,cover_density — which row of data/ground_cover.csv grows on this
#               ground and how densely (0 = bare).
id,name,family,fresh_r,fresh_g,fresh_b,worn_r,worn_g,worn_b,sd,macro_sd,meso_m,micro_m,relief_m,edge_m,damp,cover,cover_density,note
0,tundra,turf,0.42,0.50,0.40,0.58,0.54,0.50,0.16,0.20,1.2,0.05,0.09,1.0,0.0,grass,0.35,"lichen mat over frozen ground — low tussocks and sparse cover; fresh is the lichen, worn the bare frozen earth between it"
1,taiga,turf,0.14,0.42,0.30,0.30,0.34,0.26,0.22,0.24,0.9,0.04,0.12,1.2,0.0,grass,0.60,moss between the trunks against the brown needle litter that buries it
2,snow,soil,0.66,0.70,0.76,0.58,0.62,0.64,0.07,0.05,2,0.06,0.05,1.5,0.0,snow,1.00,the GROUND of the snow biome is frozen earth — the white is COVER at density 1; take the cover away and the ground underneath is honest
3,valley,soil,0.46,0.44,0.26,0.64,0.60,0.38,0.18,0.20,1.4,0.05,0.08,1.0,0.0,grass,0.45,"river-valley loam: damp dark earth where it holds, dusty pale where it has dried"
4,meadow,turf,0.30,0.54,0.22,0.50,0.50,0.34,0.20,0.22,0.8,0.04,0.10,1.0,0.0,grass,0.75,the default ground of the temperate world — green sward against dry stems and the soil showing between them
5,swamp,mud,0.16,0.34,0.16,0.32,0.38,0.24,0.24,0.24,1.6,0.05,0.07,1.4,0.6,grass,0.50,"peat flats with standing water — black wet peat where it drowns, drained and paler where it drains"
6,desert,sand,0.74,0.64,0.42,0.90,0.80,0.54,0.10,0.10,1.1,0.03,0.10,1.6,0.0,none,0.00,wind ripples are the whole structure of a dune field: the shaded coarse trough against the polished crest
7,steppe,turf,0.58,0.58,0.26,0.78,0.62,0.38,0.19,0.22,1,0.04,0.10,1.0,0.0,grass,0.50,dry bunch grass over pale loess — the tufts and the bare ground they stand in
8,tropics,turf,0.08,0.38,0.10,0.16,0.34,0.14,0.26,0.26,0.7,0.04,0.12,1.2,0.0,grass,0.90,closed herb layer — the ground barely shows; what varies is deep green against fallen leaf litter
9,field,furrow,0.46,0.40,0.22,0.64,0.56,0.30,0.20,0.14,4.5,0.04,0.14,0.4,0.0,grass,0.25,"ridge-and-furrow: one ridge pair every meso_m (4.5 m is the historic strip width) with ploughed lines eight to the ridge; rows run EAST-WEST — the north-south twin is id 14 and the pick is field_furrows_vertical (sub/material.h). Fresh is turned damp earth in the furrow, worn the dried crust on the ridge"
10,shore,sand,0.68,0.60,0.40,0.84,0.76,0.52,0.12,0.12,0.9,0.03,0.07,1.6,1.0,none,0.00,wave-combed sand; damp 1 = the band below the shoreline reads wet
11,rock,stone,0.40,0.42,0.34,0.50,0.44,0.44,0.15,0.20,2.2,0.06,0.22,0.6,0.0,moss,0.18,"bare massif — plates split by cracks; fresh is the lichen stain that follows the joints, worn the clean face"
12,road,track,0.36,0.29,0.19,0.48,0.39,0.27,0.14,0.10,3,0.03,0.04,0.3,0.0,none,0.00,"packed dirt and gravel — the surface a thousand feet made flat; damp earth in the ruts, dry dust on the crown"
13,waterbed,mud,0.32,0.31,0.26,0.44,0.39,0.32,0.13,0.14,1.3,0.05,0.05,1.0,1.0,none,0.00,"lake and river bed, seen through the water plane: soft silt against the gravel the current has swept"
14,field_v,furrow,0.46,0.40,0.22,0.64,0.56,0.30,0.20,0.14,4.5,0.04,0.14,0.4,0.0,grass,0.25,the same ploughed field as id 9 with the ridges running NORTH-SOUTH
